TransactionID,CustomerID,POSIdentity_POSItemID,MerchandiseHierarchy.Merchandise,MerchandiseHierarchy.ID,MerchandiseHierarchy.ID,MerchandiseHierarchy.HierarchyPath,MerchandiseHierarchy.Tax,ItemID,ItemID.Type,Description,Description.Culture,Description.Culture,Description.Long,Description.TypeCode,RegularSalesUnitPrice,RegularSalesUnitPrice.Currency,ActualSalesUnitPrice,ActualSalesUnitPrice.Currency,ExtendedAmount,ExtendedAmount.Currency,ExtendedDiscountAmount,ExtendedDiscountAmount.Currency,Quantity,Quantity.Units,Quantity.UnitOfMeasureCode,Quantity.EntryMethod,RetailPriceModifier_SequenceNumber,RetailPriceModifier_SequenceNumber,RetailPriceModifier_Amount,RetailPriceModifier_Amount,RetailPriceModifier_Amount.Currency,RetailPriceModifier_Amount.Currency,RetailPriceModifier_Amount.Action,RetailPriceModifier_Amount.Action,RetailPriceModifier_PromotionID,RetailPriceModifier_PromotionID,RetailPriceModifier_Description,RetailPriceModifier_Description,RetailPriceModifier_LineItemRewardPromotion_TriggerQuantity,RetailPriceModifier_LineItemRewardPromotion_TriggerQuantity,RetailPriceModifier_LineItemRewardPromotion_TriggerQuantity.Units,RetailPriceModifier_LineItemRewardPromotion_TriggerQuantity.Units,RetailPriceModifier_LineItemRewardPromotion_TriggerQuantity.UnitOfMeasureCode,RetailPriceModifier_LineItemRewardPromotion_TriggerQuantity.UnitOfMeasureCode,RetailPriceModifier_LineItemRewardPromotion_TriggerQuantity.EntryMethod,RetailPriceModifier_LineItemRewardPromotion_ApportionmentAmount,RetailPriceModifier_LineItemRewardPromotion_ApportionmentAmount,RetailPriceModifier_LineItemRewardPromotion_ApportionmentAmount.Currency,RetailPriceModifier_LineItemRewardPromotion_ApportionmentAmount.Currency,RetailPriceModifier_LineItemRewardPromotion_ApportionmentAmount.Participator,RetailPriceModifier_LineItemRewardPromotion_ApportionmentAmount.Participator,RetailPriceModifier_LineItemRewardPromotion_RewardSplitAmount,RetailPriceModifier_LineItemRewardPromotion_RewardSplitAmount,RetailPriceModifier_LineItemRewardPromotion_RewardSplitAmount.Currency,RetailPriceModifier_LineItemRewardPromotion_RewardSplitAmount.Currency,RetailPriceModifier_LineItemRewardPromotion_RewardLevel,RetailPriceModifier_LineItemRewardPromotion_RewardLevel,RetailPriceModifier_LineItemRewardPromotion_ApportionmentAmount.ParticipatorId,Tax.Sign,Tax.Imposition,Tax_SequenceNumber,Tax_TaxAuthority,Tax_TaxableAmount,Tax_TaxableAmount.Currency,Tax_TaxableAmount.TaxIncludedInTaxableAmountFlag,Tax_Amount,Tax_Amount.Currency,Tax_Percent,Tax_TaxRuleID,Tax_TaxGroupID,ConsumableGroup_Type,ConsumableGroup_ID,PromotionDeferredRewards_Type,PromotionDeferredRewards_Type,PromotionDeferredRewards_Value,PromotionDeferredRewards_Value,PromotionDeferredRewards_PromotionID,PromotionDeferredRewards_PromotionID,PromotionDeferredRewards_Description,PromotionDeferredRewards_Description,PromotionDeferredRewards_SequenceNumber,PromotionDeferredRewards_SequenceNumber,PromotionDeferredRewards_DeferredID,PromotionDeferredRewards_DeferredID,PromotionDeferredRewards_LineItemRewardPromotion_TriggerQuantity,PromotionDeferredRewards_LineItemRewardPromotion_TriggerQuantity.Units,PromotionDeferredRewards_LineItemRewardPromotion_TriggerQuantity.UnitOfMeasureCode,PromotionDeferredRewards_LineItemRewardPromotion_ApportionmentAmount,PromotionDeferredRewards_LineItemRewardPromotion_ApportionmentAmount.Currency,PromotionDeferredRewards_LineItemRewardPromotion_ApportionmentAmount.Participator,PromotionDeferredRewards_LineItemRewardPromotion_RewardSplitAmount,PromotionDeferredRewards_LineItemRewardPromotion_RewardSplitAmount.Currency,PromotionDeferredRewards_LineItemRewardPromotion_RewardLevel,ScanData,SequenceNumber,BeginDateTime,EndDateTime,PromotionDeferredRewards_Type,PromotionDeferredRewards_Value,PromotionDeferredRewards_PromotionID,PromotionDeferredRewards_Description,PromotionDeferredRewards_SequenceNumber,PromotionDeferredRewards_DeferredID,PromotionDeferredRewards_LineItemRewardPromotion_TriggerQuantity,PromotionDeferredRewards_LineItemRewardPromotion_TriggerQuantity.Units,PromotionDeferredRewards_LineItemRewardPromotion_TriggerQuantity.UnitOfMeasureCode,PromotionDeferredRewards_LineItemRewardPromotion_ApportionmentAmount,PromotionDeferredRewards_LineItemRewardPromotion_ApportionmentAmount.Currency,PromotionDeferredRewards_LineItemRewardPromotion_RewardSplitAmount,PromotionDeferredRewards_LineItemRewardPromotion_RewardSplitAmount.Currency,PromotionDeferredRewards_LineItemRewardPromotion_RewardLevel,RetailPriceModifier_LineItemRewardPromotion_TriggerQuantity.EntryMethod,RetailPriceModifier.MethodCode,RetailPriceModifier_PreviousPrice,RetailPriceModifier_PreviousPrice.Currency,RetailPriceModifier_ReasonCode,ConsumableGroup_Type,ConsumableGroup_ID,Tender.TenderType,Tender_Amount,Tender_Amount.Currency,Tender_Cashback,Tender_Cashback.Currency,Tender_Authorization.SignatureRequiredFlag,Tender_Authorization.VerifiedByPINFlag,Tender_Authorization_RequestedAmount,Tender_Authorization_RequestedAmount.Currency,Tender_Authorization_AuthorizationCode,Tender_Authorization_ReferenceNumber,Tender_Authorization_MerchantNumber,Tender_Authorization_ProviderID,Tender_Authorization_AuthorizationDateTime,Tender_Authorization_ReceiptText,Tender_Authorization_DiagnosticCode,Tender_Authorization_ProviderData,Tender_Authorization_CardId,Tender_Authorization_CardType,Tender_Authorization_AuthorizationType,Tender_Authorization_TotalWaitTime,Tender_Authorization_NetworkTime,Tender_Authorization_TenderReferenceId,Tender_Authorization_AuthorizationResponseCode,Tender_Authorization_IsToken,Tender_CreditDebit_PrimaryAccountNumber,Tender_CreditDebit_ExpirationDate,Tender_CreditDebit_MaskedAccountId,Tender_TenderID,Tender_TenderDescription,Tender_IsAutoReconcile,TotalKey.Type,TotalKey_Total.TransactionGrossAmount,TotalKey_Total.TransactionNetAmount,TotalKey_Total.TransactionPurchaseQuantity
YZXCVTNRMU,43200713010,323628,3_09_884,Merchandise,Tax,1_09_5700@2_09_2112@3_09_884,0.00,323628,X:EAN,JS ROYAL GALA MIN X5,en-GB,en-GB,JS BRITISH ROYAL GALA APPLES MIN X5,Long,1.95,GBP,1.95,GBP,1.95,GBP,"","",1,1,EA,Scanned,1,"",0,"",GBP,"",Subtract,"",201605091,"",j-Delayed,"",0,"",1,"",EA,"",Scanned,0,"",GBP,"","","",0,"",GBP,"",1,"","",A,A,1,VAT,1.95,GBP,true,0.00,GBP,0.0000,2,1,Consumable,SalesGroup_SSL,Member Account,Member Account,1.95,0,100000001,100000004,GOODS BASE POINTS,QualifyingSpend,0,0,4,8,1,1,EA,0,GBP,"",0,GBP,1,0000000323628,2,2016-05-16T09:03:03.3011171+03:00,2016-05-16T09:03:03.3011171+03:00,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
YZXCVTNRMU,43200713010,7583367,3_09_853,Merchandise,Tax,1_09_9330@2_09_4251@3_09_853,20.00,1857979,X:EAN,*TU SMTY KNIVES 4PK,en-GB,en-GB,TU 4pk simplicity Knives,Long,5.00,GBP,5.00,GBP,5.00,GBP,0.01,GBP,1,1,EA,Scanned,1,"",0.01,"",GBP,"",Subtract,"",201605091,"",j-Delayed,"",0,"",1,"",EA,"",Scanned,0.01,"",GBP,"",Retailer,"",0.01,"",GBP,"",1,"","",C,C,1,VAT,4.16,GBP,true,0.83,GBP,20.0000,82,1,Consumable,Age18,Member Account,Member Account,4.99,0.01,100000001,100000004,GOODS BASE POINTS,QualifyingSpend,0,0,4,8,1,1,EA,0.01,GBP,Retailer,0,GBP,1,0000001857979,3,2016-05-16T09:03:03.3177176+03:00,2016-05-16T09:03:03.3177176+03:00,"","","","","","","","","","","","","","","","","","","",Consumable,SalesGroup_SSL,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
YZXCVTNRMU,43200713010,7583367,3_09_853,Merchandise,Tax,1_09_9330@2_09_4251@3_09_853,20.00,1857979,X:EAN,*TU SMTY KNIVES 4PK,en-GB,en-GB,TU 4pk simplicity Knives,Long,5.00,GBP,5.00,GBP,5.00,GBP,0.01,GBP,1,1,EA,Scanned,1,"",0.01,"",GBP,"",Subtract,"",201605091,"",j-Delayed,"",0,"",1,"",EA,"",Scanned,0.01,"",GBP,"",Retailer,"",0.01,"",GBP,"",1,"","",C,C,1,VAT,4.16,GBP,true,0.83,GBP,20.0000,82,1,Consumable,Age18,Member Account,Member Account,4.99,0.01,100000001,100000004,GOODS BASE POINTS,QualifyingSpend,0,0,4,8,1,1,EA,0.01,GBP,Retailer,0,GBP,1,0000001857979,4,2016-05-16T09:03:03.3401771+03:00,2016-05-16T09:03:03.3401771+03:00,"","","","","","","","","","","","","","","","","","","",Consumable,SalesGroup_SSL,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
YZXCVTNRMU,43200713010,1001013,3_09_633,Merchandise,Tax,1_09_8190@2_09_330@3_09_633,0.00,1001013,X:EAN,"C/NUT STUFFING      ",en-GB,en-GB,JS SPEC RECIPE STUFFING MIX CHESTNUT PMP,Long,0.85,GBP,0.85,GBP,0.85,GBP,"","",1,1,EA,Scanned,1,"",0,"",GBP,"",Subtract,"",201605091,"",j-Delayed,"",0,"",1,"",EA,"",Scanned,0,"",GBP,"","","",0,"",GBP,"",1,"","",A,A,1,VAT,0.85,GBP,true,0.00,GBP,0.0000,2,1,Consumable,SalesGroup_SSL,Member Account,Member Account,0.85,0,100000001,100000004,GOODS BASE POINTS,QualifyingSpend,0,0,4,8,1,1,EA,0,GBP,"",0,GBP,1,0000001001013,5,2016-05-16T09:03:03.3460361+03:00,2016-05-16T09:03:03.3460361+03:00,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
YZXCVTNRMU,43200713010,7623033,3_09_512,Merchandise,Tax,1_09_3330@2_09_921@3_09_512,20.00,100106,X:EAN,"*JS GREETINGS CARD  ",en-GB,en-GB,JS FSC - Lazer Die Cut - 18th Birthday,Long,1.99,GBP,1.99,GBP,1.99,GBP,"","",1,1,EA,Scanned,1,"",0,"",GBP,"",Subtract,"",201605091,"",j-Delayed,"",0,"",1,"",EA,"",Scanned,0,"",GBP,"","","",0,"",GBP,"",1,"","",C,C,1,VAT,1.66,GBP,true,0.33,GBP,20.0000,82,1,Consumable,SalesGroup_SSL,Member Account,Member Account,1.99,0,100000001,100000004,GOODS BASE POINTS,QualifyingSpend,0,0,4,8,1,1,EA,0,GBP,"",0,GBP,1,0000000100106,6,2016-05-16T09:03:03.3616601+03:00,2016-05-16T09:03:03.3616601+03:00,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
YZXCVTNRMU,43200713010,7623042,3_09_512,Merchandise,Tax,1_09_3330@2_09_921@3_09_512,20.00,100113,X:EAN,"*JS GREETINGS CARD  ",en-GB,en-GB,JS FSC - Lazer Die Cut - 21st Birthday,Long,1.99,GBP,1.99,GBP,1.99,GBP,"","",1,1,EA,Scanned,1,"",0,"",GBP,"",Subtract,"",201605091,"",j-Delayed,"",0,"",1,"",EA,"",Scanned,0,"",GBP,"","","",0,"",GBP,"",1,"","",C,C,1,VAT,1.66,GBP,true,0.33,GBP,20.0000,82,1,Consumable,SalesGroup_SSL,Member Account,Member Account,1.99,0,100000001,100000004,GOODS BASE POINTS,QualifyingSpend,0,0,4,8,1,1,EA,0,GBP,"",0,GBP,1,0000000100113,7,2016-05-16T09:03:03.3772841+03:00,2016-05-16T09:03:03.3772841+03:00,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
YZXCVTNRMU,43200713010,7623047,3_09_901,Merchandise,Tax,1_09_5701@2_09_610@3_09_901,20.00,100120,X:EAN,"*SPRING BULBS       ",en-GB,en-GB,Spring bulbs 13cm,Long,2.50,GBP,2.50,GBP,2.50,GBP,"","",1,1,EA,Scanned,1,"",0,"",GBP,"",Subtract,"",201605091,"",j-Delayed,"",0,"",1,"",EA,"",Scanned,0,"",GBP,"","","",0,"",GBP,"",1,"","",C,C,1,VAT,2.08,GBP,true,0.42,GBP,20.0000,82,1,Consumable,SalesGroup_SSL,Member Account,Member Account,2.5,0,100000001,100000004,GOODS BASE POINTS,QualifyingSpend,0,0,4,8,1,1,EA,0,GBP,"",0,GBP,1,0000000100120,8,2016-05-16T09:03:03.3919316+03:00,2016-05-16T09:03:03.3919316+03:00,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
YZXCVTNRMU,43200713010,1001334,3_09_8,Merchandise,Tax,1_09_8190@2_09_353@3_09_8,0.00,1001334,X:EAN,"BASICS TOMATO SOUP  ",en-GB,en-GB,Basics Creamed Tomato Soup 400G,Long,0.24,GBP,0.24,GBP,0.24,GBP,"","",1,1,EA,Scanned,1,"",0,"",GBP,"",Subtract,"",201605091,"",j-Delayed,"",0,"",1,"",EA,"",Scanned,0,"",GBP,"","","",0,"",GBP,"",1,"","",A,A,1,VAT,0.24,GBP,true,0.00,GBP,0.0000,2,1,Consumable,SalesGroup_SSL,Member Account,Member Account,0.24,0,100000001,100000004,GOODS BASE POINTS,QualifyingSpend,0,0,4,8,1,1,EA,0,GBP,"",0,GBP,1,0000001001334,9,2016-05-16T09:03:03.4075556+03:00,2016-05-16T09:03:03.4075556+03:00,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
YZXCVTNRMU,43200713010,131544,3_09_654,Merchandise,Tax,1_09_5700@2_09_2118@3_09_654,0.00,1001358,X:EAN,"JS LARGE ONIONS X3  ",en-GB,en-GB,JS Large Onions x 3,Long,1.00,GBP,1.00,GBP,1.00,GBP,"","",1,1,EA,Scanned,1,"",0,"",GBP,"",Subtract,"",201605091,"",j-Delayed,"",0,"",1,"",EA,"",Scanned,0,"",GBP,"","","",0,"",GBP,"",1,"","",A,A,1,VAT,1.00,GBP,true,0.00,GBP,0.0000,2,1,Consumable,SalesGroup_SSL,Member Account,Member Account,1,0,100000001,100000004,GOODS BASE POINTS,QualifyingSpend,0,0,4,8,1,1,EA,0,GBP,"",0,GBP,1,0000001001358,10,2016-05-16T09:03:03.4241561+03:00,2016-05-16T09:03:03.4241561+03:00,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
YZXCVTNRMU,43200713010,7623064,3_09_472,Merchandise,Tax,1_09_5082@2_09_1545@3_09_472,0.00,100137,X:EAN,JS ROSE BOUQUET CAKE,en-GB,en-GB,JS Rose Bouquet Madeira cake 660g,Long,8.00,GBP,8.00,GBP,8.00,GBP,8,GBP,1,1,EA,Scanned,1,2,0,8,GBP,GBP,Subtract,Subtract,201605091,126002,j-Delayed,3 for 2 offer on Bakery,0,1,1,1,EA,EA,Scanned,0,2.43,GBP,GBP,Store,"",0,2.46,GBP,GBP,1,1,Distributed Stores,A,A,1,VAT,0.00,GBP,true,0.00,GBP,0.0000,2,1,Consumable,SalesGroup_SSL,"","","","","","","","","","","","","","","","","","","","","",0000000100137,11,2016-05-16T09:03:03.4388036+03:00,2016-05-16T09:03:03.4388036+03:00,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
